service_id,name,employee_name,schedule,duration
1,Haircut,Anna,2026-02-01 09:00-13:00 14:00-16:00|2026-02-02 10:00-14:00,30
2,Massage,Olga,2026-02-01 10:00-13:00 15:00-18:00,60
3,Dentist Checkup,Dr. Ivanov,2026-02-03 09:00-12:00|2026-02-04 14:00-18:00,30
4,Car Wash,Sergey,2026-02-01 08:00-11:00 12:00-14:00,45
5,Manicure,Elena,2026-02-02 10:00-13:00 14:00-17:00,60
6,Personal Training,Alex,2026-02-01 07:00-09:00|2026-02-03 07:00-10:00,60
7,IT Consultation,Mikhail,2026-02-04 11:00-14:00 15:00-18:00,90
8,Language Lesson,Julia,2026-02-01 09:00-11:00 12:00-14:00|2026-02-02 09:00-12:00,60
9,Photo Session,Natalia,2026-02-05 13:00-15:00 16:00-19:00,120
10,Veterinary Visit,Dr. Smirnov,2026-02-03 10:00-12:00 13:00-15:00,30